soru,cevap,cevaplayan_unvan
"Merhabalar, Bir kamu kurumunda sözleşmeli işçi olarak çalışmaktayım. Benimle aynı görev tanımına sahip personel ile aramızda iş dağılımı konusunda adaletsizlik mevcut. Görev şeklimiz nedeni ile çoğunlukla verilen bir işin başlaması ve bitmesi gibi bir durum söz konusu olmamakla beraber farklı sayılarda ve tarihlerde olmak üzere tekrarlayarak ilerlemekte, devam eden iş sayısına kıyasla çok az bir miktarı sonlandırılmaktadır. Örneğin üzerimde toplamda 9 farklı iş bulunmakta ve bunların bazıları 100 tekrar civarında olup devam etmekte iken aynı görev tanımına sahip personelin üzerinde 6 farklı iş bulunmakta ve ortalamada 50 tekrarın altında kalmakta ve hatta bazı işler 30 tekrar civarında sonlanmış bulunmaktadır. Bu durumda üzerimdeki iş yükünün fazlalığı nedeni ile verilecek yeni görevleri ret ederek farklı personel görevlendirilmesi konusunda talepte bulunma hakım var mıdır?","Merhaba, söz konusu sizin durumunuza ilişkin olarak farklı personel görevlendirilmesi konusunda talepte bulunma hakkınız mevcuttur. Fakat işveren talebinizi dikkate almadığı takdirde sözleşmenizi haklı nedenle feshedebilir ve ayrımcılık tazminatınızı da talep edebilirsiniz.",Hukuk Bilgi Platformu
Küçük yaşta mahkeme kararı ile evlatlık verildim...beni evlatlık alan kişilerin tek çocuğuyum...sadece annem sağ ...evlatlık veren aileninde benden başka 7 çocuğu daha var...ve evlatlık veren ailedede sadece anne sağ ...ben her iki tarafında mirascısımıyim?Ve evlatlık veren kişilerinden bana düşecek olan mirası nasıl koruyabilirim? Şerh gibi bir durum söz konusu olabilirmi? + olarak benim vefat etme durumumda üzerimde olan mal v.s...kime kalıyor?,"Merhaba, evet siz her iki tarafında mirasçısısınız. Fakat kural olarak bireylerin kendi malvarlığı üzerine dilediği gibi tasarruf etme hakkı mevcuttur. Eğer evlatlık veren kişilerin, size düşen mirasın saklı payına mütecavizi söz konusu ise; tenkis davası açabilirsiniz. Tenkis davası; miras bırakanın tasarruf özgürlüğünü aşarak saklı pay sahibi mirasçıların miras hakkına yaptığı mütecavizin giderilmesi ve miras bırakanın yaptığı tasarrufun kanuni sınırlar içerisine çekilmesi için açılan bir davadır. Bununla birlikte öncelikli olarak eğer alt soyunuz varsa yani çocuğunuz veya torununuz varsa sizin vefat etmeniz durumunda size düşen miras payı altsoyunuza ve varsa resmi nikahlı eşinize geçecektir.",Hukuk Bilgi Platformu
"Merhaba, biz evimizi kiraya verdik ve başka bir yerde kirada oturuyoruz. Kiracıya zam yapmak istediğimizi söyledik çünkü dubleks eşyalı ev 6500 tl, o mahallenin 1+1 boş evleri 15000 tl’den başlıyor. Kiracım zam yapmak istemediğini çıkmak istediğini söyledi. Ancak konuşma esnesında biz zam yapmayacaklarsa oraya döneceğimizi söyledik. Bu durumda evi başkasına kiraya verebilir miyiz?","Merhaba, söz konusu sizin durumunza ilişkin olarak kiracınızın evin tahliyesi konusunda rızası varsa sizinle anlaşarak çıkıyorlarsa herhangi bir sorun teşkil etmeyecektir. Fakat kiracınız çıkmak istemiyorsa ve sırf sizin söz konusu eve döneceğiniz sebebiyle evi tahliye ediyorsa ilerleyen süreçte evi bir başkasına kiraya verdiğinizi öğrenirse bu durumu bildirmesi üzerine Türk Borçlar Kanunu madde 355/3 uyarınca en az bir yıllık kira bedelini tazminat olarak ödemek durumunda kalabilirsiniz. Çünkü kirayaveren, ihtiyaç nedenine dayanarak tahliyeyi sağlamışsa, kira konusu taşınmazı üç yıl süre ile başka birisine kiralama yasağı bulunmaktadır.",Hukuk Bilgi Platformu
"Merhaba nişanlım 2021 karar nolu cezasından denetim alıyor 29 .09.2024 te bitmesi gerekirken Şubat ayında imza ihlalinden dosyası kapanıyor ve açık ceza evine alınıyor . Normalde 29.09 ta şartlı tahliye olursun deniliyor. Ama Mart ayında teslim olduğu için iki ay daha ceza ekleniyor. İnfaz izin vermisti halbuki. İçeride de disiplin cezası alıyor yarışmaya dahil olduğu için. Cezası 1 gün hücre 6 ay kapalı. 02.05 ten beri kapalı kısımda disiplin infazı hala baslamadi. Hem denetimle çıkamaz hem de 9. Ayda çıkamaz denetim ve koşullu salıverilme hakkı yandı deniliyor. Ne kadar ceza alacak o zaman yardımcı olur musunuz .Başka açık dosyası yok sadece denetim gördüğü dosyanin ihlalinden girdi ve disiplin cezası aldı üzerine , bir de iki ay geç teslim olma cezası eklemişler sanırım. Şimdiden çok teşekkür ederim","Merhaba, denetimli serbestlik uygulamasında ana kural denetime sıkı sıkıya uyulmasıdır. İmza atmaya gitmeyen kişi imza atılmasını ihlal ettiği için bu konuda hakkında verilen ceza, denetimli serbestlikte geçecek süre kadar hapis cezası olarak infaz edilir.",Hukuk Bilgi Platformu
"Merhaba 01/09/1999 tarihinde bir dershane ile öğretmen olarak sözleşme imzaladım. Ancak kurum sgk girişimi 01/11/1999 tarihinde yapmış ve bu tarih işe başlama tarihi olarak işlenmiş. Bu durumda Eyt düzenlemesinden 08/09/1999 tarihi baz alındığı için yararlanamıyorum. İlgili sgk ya resmi dilekçe ile başvuru yaptım, hizmet tespit davası açmam gerektiği konusunda yanıt yazdılar. Ancak çalıştığım kurum kapandı, davayı kime açacağım ve kazanma durumum nedir, emsalleri var mıdır? Elimde kanıt olarak resmî evraklar var. Teşekkür ederim şimdiden.","Merhaba, bu konuya ilişkin olarak hizmet tespit davası açabilirsiniz. Davayı kazanmanızı sağlayacak olan elinizdeki delillerdir. Hizmet tespit davası İşveren ve Sosyal Güvenlik Kurumu aleyhine açılabilmektedir.",Hukuk Bilgi Platformu
İcra borcu yüzünden ailem aranmakta olup babama borç bilgilerim verilmiştir benim maaşıma haciz konuldu ve ailemi evinize haciz için geleceğiz borcu bu kadar faiz bu kadar vs diye bilgiler vermektedirler avukat bürosu tarafından ikametgah adresim ailemle bir değil eskiden ailem ile yaşıyordum şu an kendim yaşıyorum ve ailemi rahatsız etmeleri doğru mu ne yapabilirim,"Merhaba, herkes borçlarından dolayı şahsi olarak sorumludur. Sizin borcunuz sebebiyle anne ve babanızın mallarına haciz gelemez. Dolayısı ile sizin icra borcunuz sebebiyle ailenizi rahatsız etmeleri doğru değildir. Üstelik size ait borç bilgilerinizin babanız dahi olsa bir başkasına verilmesi kişisel verilerin hukuka aykırı olarak yayılması suçunu oluşturmaktadır. Bu konuya ilişkin olarak savcılığa suç duyurusunda da bulunabilirsiniz.",Hukuk Bilgi Platformu
Bir kamu kurumunda sözleşmeli kamu personeliyim. Hakkımda çıkan dedikodular yüzünden ellerinde bi kanıt olmadan benim sözleşmemi fesih edebilirler mi. Teşekkürler,"Merhaba, haklı bir sebebe dayanmaksızın salt dedikodu sebebiyle sözleşmenizi fesh etme hakları bulunmamaktadır. Bu konuya ilişkin olarak dava açabilirsiniz.",Hukuk Bilgi Platformu
Eşimi Van yüzüncü yıl üniversite hastanesine götürdüm Doğum için zaten orda kontrol altındaydık eşim rahatsızdı ilaç kullanıyordu ama bebeğimiz gayet sağlıklı diyorlardı özel hastane takibi altındaydık ordada baktımığımz zaman çoçuğum gayet sağlıklıydı Van’da en son kontrole gittiğimiz zaman erken doğum yapcaz dediler 2 hafta erken doğum yaptırdılar ve çoçuğumu küvete almadılar sağlıklı dediler ve çoçukta sarılık vardı memleketim ağrıya dönüş yaptım bizi 1 geceden sonra taburcu ettiler ve 3 gün sonra hastaneye gittim kanı felan alındı gece 1 de apar topar ameliyata alındı kan değişimi yapıldı ve çekilen Emara göre doğum esnasında çocuğun kafası bir zede görmüş ve kabuk tutmuştu doktor dedi şimdilik sorun yok ama geçen aylarda çıkabilir.2 ay geçtikten sonra çocuğumun kafası şişti ağzı köpük verdi gözler görmüyordu.ve mecburen Erzurum’a özel hastaneye gittim Emar çektirdim çoçupmun hidrosefali olduğunu öğrendim 2 yaşına girdi şuan başında şant var ve ömür boyu kalacak çalışamaz bu çoçuk bakıma muhtaç şuan geride yürüyemiyor ve hep doktor kontrolünde imkanım yok elimde olan bütün birikimimi hastene yollarında harcadım.bana yardımcı olun lütfen,"Merhaba, söz konusu sizin durumunuza ilişkin olarak çocuğunuzun doğum esnasında kafasının zedelenmiş olması ve beraberinde yaşadığınız problemler hekim hatasından kaynaklanmaktadır ve hekimin cezai sorumluluğu bulunmaktadır. Hekimin, özen yükümlülüğünü ihlal ederek, yetersizliği ya da ihmali ile hastaya zarar vermesi malpraktis olarak tanımlanmaktadır. Öncelikle yaşadığınız tüm süreci içeren bir dilekçe yazıp savcılığa şikayette bulunmalısınız. Ardından hekime karşı malpraktis nedeniyle maddi ve manevi tazminat davası açabilirsiniz.",Hukuk Bilgi Platformu
"Merhaba, Yeni kanun düzenlemesine göre 5 yıldan önce de kira emsal tespit davası açılabildiğini öğrendim. Yeni dönem kira başlangıcına 39 gün var ve kira başlangıcı Haziran 2021. %25 zorunlu artışlarla, kira bedeli enflasyon karşısında erimiş durumda. Emsal bedeli tespit davası açabilmek için yeni dönem kira başlangıç tarihinden en az 30 gün öncesinden kiracıya yazılı ihtarda bulunulması ve durumun açıklanması gerekiyormuş. Yapılması gereken ihtar noter aracılığıyla mı çekilmeli, yoksa bir whatsapp mesajı da yeterli olur mu? İlginiz ve desteğiniz için şimdiden teşekkür ederim","Merhaba, Whatsapp mesajları da delil niteliğinde kabul edilmektedir. Fakat kira emsal bedelin tespiti davasında noter aracılığı ile ihtarname çekilmesini tavsiye ediyoruz. İlerde ispatı açısından da size kolaylık sağlayacaktır.",Hukuk Bilgi Platformu
"Merhaba, Eski ünvanı Dem.Kar olan firmamın 16.02.2024 tarihi itibariyle Ş.K adlı şahıstan firmanın %100 hissesini almış bulunmaktayım. Aynı zamanda Firmanın ünvanını değiştirip Ris.Tek olarak ticari faaliyetlerimi yürütmekteyim. Firmanın ilk Sahibi A.D. 18.11.2022 tarihinde B.A isimli şahısa devretmesine rağmen 12.05.2024 tarihinde ""Şikayet var"" sistesine ""izinsiz firmamın maili kullanıldı vb. "" cümleler kullanarak bir şikayet oluşturmuş. Sormak istediğim, firmayı devir alırken aktif ve pasif olan tüm borçlarıyla almaktayız. Profesyonel olarak kullanılan gmail hesabı da şirketin maili olduğundan ticareti aksatmamak amacıyla ünvan değişikliğine kadar şifre bilgileri değiştirilerek kullanılmaya devam edilmiştir. Şirketi devir aldığımda aynı şekilde kullanmaya bende devam ettim. Ünvan değişikliğinden dolayı yeni bir gmail hesabı açarak yeni e-postayı kullanmaya başladım eski e-posta pasif durumdadır. Burada bir usülsüzlük var mıdır? Hisse devri yaparken noterde belirtmeli miydik? Bundan sonraki süreçte neler yapmalıyız? Teşekkürler.","Merhaba, ünvan değişikliğinden dolayı yeni bir Gmail hesabı açarak yeni e-posta kullanmaya başlamanızda herhangi bir usulsüzlük bulunmamaktadır.",Hukuk Bilgi Platformu
