soru,tarih,cevap
evim silahla basıldı 15 kişi tarafından benim olay yerinde olmamama rağmen benimde ismim verilmiş,6/6/2024 9:42:19 AM,Merhaba. Konu ile ilgili yüz yüze görüşmemiz halinde yardımcı olabiliriz. Dosyanızı inceledikten sonra net cevap verebiliriz.
Merhaba ben almanyada esimden ayrildim ve o türkiyeye yerlesip oradan bosanma davasi acdi ve bende bunun üzerine türkiyeden avukat tutum bosanma sebebi ise benim eve dönmemem olarak gösteriyo fakat sahitlerle onun evden kacdigini beyan ettik Simdi ise türkiyedeki avukat bizden sahitlerin türkiyeye gelip ifade vermesi gerekdigini aksi takdirde kisi basina 1000 dolar ödememiz gerekdigini söylüyo böyle bisey mümkünmü ? Yoksa avukat para koparmak icinmi öyle diyo,6/6/2024 2:12:02 AM,Merhaba. Tanıklarınız uluslarası istinabe denilen yolla dinlenebilir. Bu işlem için 1.000USD masraf yoktur. Masraflar mevzuat ve mahkeme takdirine göre belirlenir.
Merhaba 3 yıllık Çalışanım özel sektörde asgari ücretli Küçülmeye gitti firma isten çıkarıldık Takribi ne kadar tazminat alırım İşe giriş / 04.01.2021 Çıkış/ 15.06.2024,6/6/2024 1:26:42 AM,"Merhaba. Çalıştığınız yıl başına bir asgari ücret kıdem tazminatı, 15 gün çalışma karşılığı ihbar tazminatı, alamadığınız maaş ve fazla mesai ücretleri hesaplanır. Bunun haricinde ödemelerle ilgili görüşmeyle kalemler belirlenebilir."
Ben almanyada yasiyorum ve türkiyeden bi magazadan sipariş verdim bugün beni arayıp şikayetçi olmalıyım dediler işçileri böyle yapmış dediler ama almanyadan ben nasıl bunu yapacam? Ve bence işçileri suçlu olsa bile asıl suç onların yoksa yanlismiyim? Sonuç olarak ben bedrinxxl sayfasına girip orda onların WhatsApp hatindan sipariş verdim. Lütfen beni bilgilendirin.,5/21/2024 9:33:59 PM,Merhaba. Bizimle iletişime geçip ayrıntılı bilgi vermeniz halinde yardımcı olabiliriz.
Benim adıma olan bir evde arkadaşım oturuyor fakat ev benim adıma kiraladım evi ödeyemedim arkadaşım kalmak istedi ona bıraktım evi evde uyuşturucu çıktı ne yapmam gerekiyor,5/21/2024 9:28:23 PM,Merhaba. Derhal kolluk güçlerine (soruşturmayı yapan polis veya jandarma) giderek ayrıntılı şekilde bilgi vermenizi tavsiye ederiz.
Merhaba elektrikçi geldi baktılar arızaya bizden para talep etti yarın gelicem dedi ama oyalıyor dolandırıldık sanırım 2 gündür çeşitli yalanlar uyduruyor,5/21/2024 8:48:12 PM,"Merhaba. Parayı rızanızla verip hizmet alamamanız halinde ""güveni kötüye kullanma"" suçu oluşabilir. Ayrıca hizmeti alamamanız nedeniyle hukuk davası yoluna da gidebilirsiniz."
Slm merhaba ben öz kardeşime elden 300 bin verdim senet yaptık borcunu ödemedi kendisini icraya verebilirmiyim kardeş kardeşi icraya verebilirmi kardeşim borcunu ödemiyo,5/21/2024 8:28:47 PM,Merhaba. Kardeşinize karşı icra yoluna gidebilirsiniz. Bu duruma herhangi bir engel bulunmamaktadır.
Merhabalar halamgil babaannemin üstüne borç çekip evden atmışlar bu durumda ne yapılır?,5/6/2024 1:00:27 PM,Merhaba. Babaanneniz suç duyurusunda bulunabilir. Dava yoluna başvurabilir. Konu ile ilgili profesyonel destek almanızı tavsiye ederiz.
Ben bir gelinim yatalak hasta kaynanama 3 tane kızı var kimse bakmıyor eşek gibi sen bakacaksın diyorlar sağlık sorunlarım çok var belimde fıtık kayma var kemik hastalığım var ben çocuklarıma eşime zor bakıyorum ben kendime yetemiyorum ne yapabilirim bana yardımcı olun lütfen,5/6/2024 12:02:33 PM,Merhaba. Kayınvalidenize bakmanız tamamen sizin iyi niyetinizin göstergesidir. Kayınvalidenizin mal varlığı varsa ölene kadar bakım/vasiyet sözleşmesi yapabilirsiniz.
Belediye imarlı arsamızı 4 kattan 3 kata düşürdü şimdi de imarını iptal etmiş bahçeye çevirmiş burada büyük bir maduriyet söz konusu çünkü hiçbirini haberimiz ve onayımız olmadan yaptı ne yapabiliriz?,5/5/2024 11:58:30 PM,Merhaba. Belediye imar planının iptali yönünde dava açabilirsiniz. Ayrıca niteliğe göre iptal nedeniyle uğranılan zararın tazminini talep edebilirsiniz.
Benim bir arkadasim var 3 sahis kisinin araciyla bir kazaya karisti ehliyeti olmadigi icin bende karsi tarafi ikna ederek kendi ehliyetimi kazada ben yapmis olarak gosterttim sonrasinda 3 sahisin sigortasiyla ikna ederek karsi tarafin masrafini karsiladi arkadasim simdi iste 3 sahis sigorta ucreti fazla cıktığı icin arkadasimdan ücret istedi ama arkadasim vermek istemedi 3 sahis ise dava edecegini soyluyor bana bu durumda neler olur milli sporculuk kyk bursumun kesilmesi olabilirmi,5/5/2024 9:40:27 PM,"Merhaba. Sizin başkasının suçunu üstlendiğiniz ortaya çıkarsa soruşturma geçirebilir, ceza alabilirsiniz. Bu aşamadan sonra iletişime geçerek destek almanızı tavsiye ederiz."
Merhaba Olesya mağazasından L koltuk aldık koltuğu yanlış göndermişler ödemeyi yapmıştık değiştirecekleriniz kendi koltuğumuzu göndereceklerini söylüyorlar ama 2 aydır göndermiyorlar mağazalarına gittiğimizde ise başka şirket tarafından dolandırıldık vs gibi şeyler söyleyip koltuğun yolda yüklü geleceğinizi bugün yarın diyerek bizi oyalıyorlar ve artık telefonlarımızı açmıyorlar ne yapmayalız faturası mevcut koltuğu yada ödemeye almabilmek için,5/5/2024 9:38:37 PM,Merhaba. Konu ile ilgili derhal Tüketici Hakem Heyetine gitmenizi tavsiye ederiz. Heyete dilekçeyle başvurabilirsiniz. Bizimle iletişime geçerseniz destek olabiliriz.
Ortak velayette çocuğun okul masrafları ortak mı odenir yoksa baba tarafindan mı karşılanır çocuk ortak velayette tatil amaçlı sehir dışına çıkarılabilir mi,5/5/2024 9:16:50 PM,Merhaba. Ortak velayette çocukların masrafı ortak ödenmelidir. Tatil amaçlı şehir dışına çıkma konusunda her iki ebeveynin de rızası aranır.
Hakkımda hagb kararı olması öğretmen atamalarında güvenlik ve arşiv soruşturmasında engel olur mu?,5/5/2024 8:46:54 PM,Merhaba. HAGB kararı güvenlik ve arşiv soruşturmasında sorun yaratabilir. HAGB normal şartlarda memuriyete engel değildir. Bu gerekçeyle alınmama halinde dava yoluna gidilebilir.
Tc vatandaşı değilim hakkımda dava olup olmadığını nasıl öğrenebilirim,5/5/2024 7:08:05 PM,Merhaba. Bulunduğunuz ildeki Cumhuriyet Başsavcılığına giderek sorgulama yapabilirsiniz.
"Amcamla yarı yarıya ortak dairemiz var daireye müşteri çıktı amcamın paraya ihtiyacı var ucuza veriyor ,alıcıda bana 2 birim amcama 1 birim şeklinde bir teklif sundu.Sonradan bir problem çıkarırmı bu iş.",5/5/2024 5:45:55 PM,Merhaba. Her paydaş kendi payını dilediği bedelle satabilir. Bir dolandırıcılık eylemi veya haksız bir tutum olmadığı sürece rızaya dayalı işlemden dolayı herhangi bir sorun çıkmayacaktır.
Merhaba. Memur (657 sayılı) olarak 30.03.2022 tarihinde çalışmaya başladım. Aday memurluğum devam ederken 29.05.2023 tarihinde yurtdışında dil eğitimi almak için memurluktan istifa ettim. Türkiye'ye geri döneceğim ve memurluğa tekrar geri dönmek istiyorum. Nereye nasıl başvuru yapmam gerekiyor? Bakanlığa mı başvurmalıyım yoksa İl Müdürlüğü'ne mi? Teşekkür ederim.,5/5/2024 3:30:23 PM,Merhaba. Son çalıştığınız birime dilekçeyle başvurmalısınız. Bu şekilde işe geri dönüşte idarenin takdir hakkı bulunmaktadır.
17 konak tipi her konakta 8 daire olan bir sitede oturmaktayım. Kapalı sabit otoparkım var ve otoparkıma bir 220 voltluk priz çektirmek istiyorum. Elektrikli bir aracım var ve prizden şarj etmek istiyorum. İstasyon kurdurmuyorum. Sadece priz çekeceğim. Bununla ilgili her hangi bir mevzuata aykırı bir durum var mıdır? Teşekkürler.,5/5/2024 1:24:24 PM,"Merhaba. Otoparkın size tahsis edilmiş olması, aksi yönde bir yönetim kurulu kararı bulunmaması ve ortak alan kullanımına aykırı bir şekilde kablo çekilmemesi şartıyla herhangi bir aykırılık olmayacaktır."
"Merhaba hocam. İş mahkemesini kazanmıştım. Ama karşı taraf istinaf'a gitti. Oradan da onay geldi. Yani orayı da kazandım. Ama istinaf 3,5 yıl sürdü. Ana para 30.000 idi. Şimdi bu istinafta geçen 3,5 yılda ne kadar faiz işler tahminen",5/5/2024 9:53:54 AM,Merhaba. Ne yazık ki faiz oranları enflasyonun altında kaldığından mağduriyet yaratmaktadır. Verilen kararla bize ulaşmanız halinde net alacağınız miktarı iletebiliriz.
"Merhaba 3 bloklu bir sitede oturuyorum.1 bloktaki malik kendi dairesinden taşındı.şimdide o bloktan karot aldırmak istiyor.1 tek malik in başvurusu yeterli mi?,tüm siteyi bu durum bağlar mı? 1 Malik basvurunca 3 ok icinde ortaK karar mi çıkar yoksa sadece o blogu mu kapsar,",5/5/2024 5:07:08 AM,Merhaba. Deprem yönetmeliğine aykırılık veya binanın statiğinde sorun olduğunun tespiti halinde tüm site bu durumdan etkilenecektir.
kendi otel kayıtlarımı görebilir miyim? emniyet aracılığıyla vs. kimliğimi emanet ettiğim birinin bunu bu amaçla kullandığıyla ilgili bir şüpheye düştüm.,5/5/2024 3:24:32 AM,Merhaba. Bilgi edinme kanunu çerçevesinde Emniyet Müdürlüğüne başvurarak otel kayıtlarınızı isteyebilirsiniz.
Merhaba takipte olan bir kredi borcunu kapattıktan sonra süreç nasıl işliyor acaba tekrar kredi kartı veya kredi başvurusu yapmak için geçen süre ne kadar olmalıdır? 5 yıl deniyor. Fakat başka kaynaklar bu sürenin daha kısa olduğu yönünde açıklamalar yapıyor. Bu konuda net bir bilgi almak için yazdım size şimdiden teşekkürler..,5/2/2024 11:55:29 AM,Merhaba. Takipte olan kredi borcunu kapattıktan sonra kredi kartı veya kredi başvurusunun olumlu sonuçlanması ilgili bankanın kredi politikalarına göre belirlenmektedir. Siz de findex puanınızı sorgulayarak fikir sahibi olabilirsiniz.
"Merhaba. Bir süredir binada yaşıyoruz ve maalesef asansörün başından beri başı dertte ve iki küçük çocuğum var ve ne yazık ki hiç gidip gelemiyorum ve eşim bir gün yardım edecek kimse olmadığında asansörde sıkışıp kaldı, yönetim ileteriyorum şirkete diyorlar. Şirkete onarımlar arasında söyledik ve hepsi bu. Ne yapa biliriz yardımcı olursanız çok iyi olur.şimdiden teşekkür ederim",5/2/2024 11:09:46 AM,"Merhaba. Yaşanan sıkıntıları yönetime yazılı olarak bildirebilir, tamirat yapılmaması halinde tamiratı siz yaptırıp bina yönetiminden tahsili yoluna gidebilirsiniz."
Karşı tarafın şikayeti yok 1 aydır cezaevinde mahkemesi var karşı tarafın şikayeti olmasa şahit olmasa ilk mahkemede tahliye olunurmu,5/2/2024 6:37:22 AM,Merhaba. Dosyanızı incelemeden cevap vermemiz ne yazık ki mümkün değildir.
"Annem ve babam 30 yılı aşkın bir süre önce boşandılar ve Türkiye'de yaşayan, Türk vatandaşı olan ve vefat ettiğinde banka kredisi olan merhum annem dışında İngiltere'de yaşıyoruz. Kız kardeşim bir Türk avukattan telefon aldı ve parayı ödememiz istendi (boşandığından beri onu görmedik ve kişisel olarak iletişim kuramadım ama kız kardeşim zaman zaman onunla konuşuyor) reddettik ve avukat biz dedik Ülkeye girmeyeceğiz, girersek tutuklanacağız. Bu doğru mu ve bundan kaçınmak için ne yapabiliriz çünkü Türkiye'ye bir gezi planlıyoruz. Saygılarımla Tolga",5/2/2024 6:11:05 AM,Merhaba. Konu ile ilgili detaylı bilgi alarak size yardımcı olabiliriz. Miras bırakının borçları nedeniyle mirasçı olduğunuzdan sizin hakkınızda takip yapılmış olabilir. Anne ve babanızın boşanmış olması sizin mirasçılık hak ve borçlarınızı kapatmayacaktır.
5 buçuk yıl önce bir araba aldım ve bunu kaportacıyla anlaşıp parasını verdim fakat hiç bir şekilde arabamı yapmadı sözlü olarak tartışmışlığımız oldu. Ne gibi bir işlem yapabilirim.,5/2/2024 1:53:43 AM,"Merhaba. Konu ile ilgili bir yazılı sözleşmeniz varsa sözleşme gereği hak iddia edebilirsiniz. Sözlü olarak anlaşıp parasını vermiş iseniz, paranın iadesini veya tamiratı talep edebilirsiniz. Karşı tarafın edimi ifa etmemesi halinde dava yoluna gidebilirsiniz ancak yaptığınız ödemeyi ispatlamanız gerekmektedir."
İyi günler benim babam sene 1993'ten beridir hiç çalışmadı. Babamın sadece üstü saç olan bir gece kondusu vardı. Ben ve en büyük abim yılarca çalıştık babamızla bankada ortak hesabımız vardı biz yurtşında çalışırken yıllarca babamız bankadan bizim maaşları çekiyordu. Bizim paralarımızla 3 katlı bir bina yaptık. En alt katı babamım oldu. Diğer 2 katıda 2019 da bir katı abime diğer katı bana devretti. Bu o zaman kardeşlerim de biliyordu sizin kendi yaptığınız paralarla yapıldı sizin hakkınızdır o zamanlar gidin tapuları Kendi adımıza yapın demişlerdi bizde babamızdan 2019 da tapularımızı aldık. Şimdi 2024 Şubat ayında babamız öldü evli olan kızlar ve kardeşim size dava açacağız diyorlar. Babamız Bankada yıllarca yüklü maaşlarımızı çekmişti. Şimdi kardeşlerimin bizim evden hak talep edememeleri için ne yapmalıyız.,5/2/2024 12:43:45 AM,"Merhaba. Yaptığınız ödemeler, yapılan iş ve süreçle ilgili tüm detayları öğrendikten sonra size yardımcı olabiliriz. Bizimle iletişime geçmeniz halinde size danışmanlık hizmeti verebilir. Size karşı açılacak bir davada davanızı takip edebiliriz."
Merhaba benim abim bir cinsel istismar suçundan ifadesiyle 12 yıl 6 ay ceza aldı istinaf bozarmı veya neye dikkat eder,5/1/2024 9:48:24 PM,Merhaba. Dosyanızla birlikte müracaatınız halinde size yardımcı olabiliriz. Bu şekilde bir bilgiyle somut cevap vermemiz ne yazık ki mümkün değildir.
