soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
"Selektif permeabilite, eriyiklerin ve elektronların aktif transportu, oksidatif fosforilasyon ve bazı ekzoenzimlerin salgılanması fonksiyonları bakteri hücresinin hangi kısmında gerçekleşir?",D,"Bahsi geçen özellikler yani ökaryot hücrede zarlı organellerin gördüğü işlevi prokaryotta sitoplazmik membran görmektedir. Prokaryot sitoplazmik membranı Mycoplasma ve Ureoplasma haricinde ökaryot sitoplazmik membranından farklı olarak sterol içermez. Periplazmik aralık ... Dış membran ile iç (sitoplazmik) membran arasında kalan mesafe olup, sadece gram negatif bakterilerde bulunur ve sitoplazmik membranda üretilen çeşitli moleküllerin depolanmasından sorumludur. Peptidoglikan tabaka ... Hücre duvarının temel komponentidir. Gram pozitiflerde bulunan peptidoglikan, gram negatiflerdekinden farklı olarak daha kalındır. Sitoplazmik granüller ... Polimetafosfattan oluşan enerji yedekleri olup, özel adı ile Babes Ernst cisimcikleri olarak isimlendirilirler. Corynebacterium diphteria'da bulunurlar. Dış Membran ... Gram negatiflerde bulunur, bakteriye seçici geçirgen özellik kazandırır.",Periplazmik aralık,Dış membran,Peptidoglikan tabaka,Sitoplazmik membran,Sitoplazmik granüller,,tipakademi.json,
Bakteri hücresinde DNA'nın bağlandığı yer aşağıdakilerden hangisidir?,B,"Mezozom, bakterinin sitoplazmik membranının hücre içerisine yaptığı girintiler olup; bakterinin DNA'sı ile temas halinde olan ve bölünmenin başladığı mezozom Septal Mezozom olup, Sporulasyonun meydana geldiği ve bazı bakterilerde bazı ekzoenzimlerin salgılandığı mezozom Lateral Mezozom'dur. Lizozim, Peptidoglikan'ın glikan birimleri olan NAMA-NAGA arasındaki Beta-1,4 bağlarını parçalayarak etkinlik gösterir. Fagozom, Fagositer hücrenin mikroorganizmayı öldürmeden önce hapsettiği vakuolün ismidir.",Lateral Mezozom,Septal Mezozom,Lizozim,Fagozom,Granüller,,tipakademi.json,
DNA'yı işaretleyen boya aşağıdakilerden hangisidir?,A,Feulgen boya ... DNA'yı işaretleyen boyadır. EZN ... Aside dirençli mikroorganizmaların tanımlanmasında kullanılır. Auramin Rodamin ... Mikobakteriler 'in tanımlanmasında kullanılan floresan mikroskop boyasıdır. Duyarlılığı EZN'ye göre daha yüksektir. Toludin mavisi-O ... Solunum yolu örneklerinden P.jirovecii'nin hızlı tanımlanması için kullanılır. Trichrom ... Parazitlerin gösterilmesi amacıyla kullanılır.,Feulgen,EZN,Trichrom,Toludin mavisi-O,Auramin Rodamin,,tipakademi.json,
"Hücrede hangi yapı bulunmazsa protoplastlar, L-formu bakteriler ve sferoplast gibi formlar meydana gelir?",C,"Hücre duvarını kaybetmiş çoğalamayan gram pozitiflere ... Protoplast Hücre duvarını kaybetmiş çoğalamayan gram negatiflere ... Sferoplast Hücre duvarını kaybetmiş, çoğalabilen bakteriye ... L-form bakteri adı verilir. Sonuçta her üç formda da eksik olan hücre duvarıdır.",Hücre zarı,Kapsül,Hücre duvarı,Ribozom,Golgi cisimciği,,tipakademi.json,
Gram negatif bakteride en dış tabakada bulunan O somatik antijenin yapısı aşağıdakilerden hangisidir?,D,"Gram negatiflerin en dışında bulunan Lipopolisakkaridler'in Lipid A komponenti bütün gram negatiflerde aynıdır ve gram negatif septik şok kliniği ile ilişkilidir. Somatik O antijeni ise polisakkarid yapıda olup, gram negatif bakteriler arasından değişken özellik gösterir. Bu nedenle gram negatif bakterilerin gruplandırılmasında kullanılır (E.coli 0:157 H:7'deki O, somatik O antijenidir).",Lipit,Fosfolipit,Lipoprotein,Polisakkarit,Peptidoglikan,,tipakademi.json,
Gram pozitif bakterilerin yüzey antijenitesini sağlayan yapısı aşağıdakilerden hangisidir?,D,"Gram pozitif hücre duvarı gram negatif hücre duvarından farklı olarak kalın bir peptidoglikan tabakaya sahiptir ve teikoik asit içermektedir. Teikoik asitler gram pozitif bakterilerin konak hücre fibronektinine tutunmasını sağlarlar, bakteriyofajlar için de reseptör görevi görürler.",Lipoprotein,Lipit A,Lipopolisakkarit,Teikoik asit,Peptidoglikan tabaka,,tipakademi.json,
Aşağıdakilerden hangisi Stafilokok hücre duvarında bulunan gliserol veya ribitol fosfat polimerlerinden oluşan antijenik yapıdır?,D,,Lipoprotein,Lipit A,Lipopolisakkarit,Teikoik asit,Peptidoglikan tabaka,,tipakademi.json,
Aşağıdakilerden hangisi sadece gram pozitif hücre duvarında bulunur?,D,,Lipoprotein,Lipit A,Lipopolisakkarit,Teikoik asit,Peptidoglikan tabaka,,tipakademi.json,
Aşağıdakilerden hangisi gram negatif hücre duvarında bulunmaz?,D,,Lipoprotein,Lipit A,Lipopolisakkarit,Teikoik asit,Peptidoglikan tabaka,,tipakademi.json,
Aşağıdakilerden hangisi gram pozitiflerde bakteriyofajlar için reseptör görevi görmektedir?,D,,Lipoprotein,Lipit A,Lipopolisakkarit,Teikoik asit,Peptidoglikan tabaka,,tipakademi.json,
